Player,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xAG/90,GA90,Save%,CS%,PK Save%
0,17,0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,1.0,4.0,0.0,0.0,0.0,0.36,0.0,0.36,0.36,,,0.0,0.0,0.0,0.0
0,37,0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,2.0,6.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,,,0.0,0.0,0.0,0.0
0,139,0,1.5,0.0,0.0,0.0,0.0,0.0,0.1,3.0,10.0,0.0,0.0,0.0,0.05,0.13,0.18,0.05,,,0.0,0.0,0.0,0.0
0,7,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,,,0.0,0.0,0.0,0.0
1,131,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.27,0.27,0.0,,,0.0,0.0,0.0,0.0
27,117,2,23.5,3.0,2.0,0.0,0.0,0.0,1.8,137.0,44.0,0.09,0.21,0.21,0.08,0.15,0.23,0.08,,,0.0,0.0,0.0,0.0
4,379,0,4.2,0.0,0.0,0.0,0.0,1.0,0.1,14.0,2.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,,,0.0,0.0,0.0,0.0
9,960,0,10.7,4.0,0.0,0.0,0.0,0.0,1.0,30.0,47.0,0.0,0.37,0.37,0.09,0.18,0.27,0.09,,,0.0,0.0,0.0,0.0
5,483,0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,,,0.0,0.0,0.0,0.0
Starts,Min,Gls,90s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
13,174,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
2,197,0,2.2,0.0,0.0,0.0,0.0,0.0,0.6,8.0,2.0,0.0,0.0,0.0,0.26,0.0,0.26,0.26,,,0.0,0.0,0.0,0.0
32,880,2,32.0,2.0,2.0,0.0,0.0,0.0,2.3,109.0,17.0,0.06,0.12,0.12,0.07,0.05,0.12,0.07,,,0.0,0.0,0.0,0.0
0,179,0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,5.0,2.0,0.0,0.0,0.0,0.09,0.13,0.22,0.09,,,0.0,0.0,0.0,0.0
29,609,1,29.0,1.0,1.0,0.0,0.0,0.0,1.0,121.0,9.0,0.03,0.07,0.07,0.04,0.04,0.07,0.04,,,0.0,0.0,0.0,0.0
29,662,1,29.6,3.0,1.0,0.0,0.0,0.0,0.9,149.0,48.0,0.03,0.14,0.14,0.03,0.14,0.17,0.03,,,0.0,0.0,0.0,0.0
1,72,0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,5.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,,,0.0,0.0,0.0,0.0
8,770,0,8.6,0.0,0.0,0.0,0.0,0.0,0.2,29.0,22.0,0.0,0.0,0.0,0.02,0.07,0.1,0.02,,,0.0,0.0,0.0,0.0
1,109,0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,,,0.0,0.0,0.0,0.0
7,589,0,6.5,0.0,0.0,0.0,0.0,0.0,0.1,24.0,2.0,0.0,0.0,0.0,0.02,0.17,0.19,0.02,,,0.0,0.0,0.0,0.0
27,448,4,27.2,1.0,4.0,0.0,0.0,1.0,2.2,92.0,102.0,0.15,0.18,0.18,0.08,0.07,0.15,0.08,,,0.0,0.0,0.0,0.0
3,259,0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,,,0.0,0.0,0.0,0.0
24,164,14,24.0,4.0,14.0,0.0,0.0,0.0,7.3,115.0,138.0,0.58,0.75,0.75,0.3,0.28,0.58,0.3,,,0.0,0.0,0.0,0.0
5,617,1,6.9,0.0,1.0,0.0,0.0,0.0,1.3,8.0,33.0,0.15,0.15,0.15,0.18,0.0,0.18,0.18,,,0.0,0.0,0.0,0.0
31,756,0,30.6,3.0,0.0,0.0,0.0,0.0,2.0,99.0,161.0,0.0,0.1,0.1,0.07,0.07,0.13,0.07,,,0.0,0.0,0.0,0.0
