Player,Rk,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Daniel Podence,412,ptPOR,"MF,FW",Wolves,29-185,1995,0.5,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0.0,Matches
Danilo,119,brBRA,"MF,FW",Nott'ham Forest,23-360,2001,3.0,0,0,0,1,0,0,3,3,3,0,0,0,18,1,1,50.0,Matches
Danny Ings,245,engENG,"FW,MF",West Ham,32-275,1992,3.2,0,0,0,0,2,0,3,1,2,1,0,0,9,8,10,44.4,Matches
Danny Ward,537,wlsWAL,GK,Leicester City,31-306,1993,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,N/a,Matches
Danny Welbeck,543,engENG,FW,Brighton,34-149,1990,19.6,4,0,0,10,20,2,3,5,13,0,0,0,35,15,23,39.5,Matches
Dara O'Shea,384,ieIRL,DF,Ipswich Town,26-051,1999,29.7,6,0,0,15,21,3,5,31,25,0,0,0,98,97,73,57.1,Matches
Darwin Núñez,379,uyURU,FW,Liverpool,25-304,1999,11.2,8,0,0,26,14,11,2,3,15,1,0,0,37,15,29,34.1,Matches
David Brooks,71,wlsWAL,"FW,MF",Bournemouth,27-290,1997,9.1,3,0,0,8,15,0,44,5,4,0,0,0,44,7,9,43.8,Matches
David Raya,422,esESP,GK,Arsenal,29-221,1995,34.0,2,0,0,1,8,0,0,2,0,0,1,0,38,10,0,100.0,Matches
Dean Henderson,231,engENG,GK,Crystal Palace,28-043,1997,34.0,3,0,0,0,0,0,0,0,1,0,0,0,25,11,1,91.7,Matches
Dean Huijsen,241,esESP,DF,Bournemouth,20-010,2005,22.8,7,0,0,26,9,2,12,49,23,0,0,0,91,61,41,59.8,Matches
Declan Rice,429,engENG,MF,Arsenal,26-100,1999,28.6,7,1,1,19,15,1,155,24,22,0,0,0,139,30,23,56.6,Matches
Dejan Kulusevski,290,seSWE,"MF,FW",Tottenham,24-364,2000,24.8,3,0,0,41,33,5,88,12,23,0,0,0,112,10,14,41.7,Matches
Destiny Udogie,520,itITA,DF,Tottenham,22-147,2002,19.4,2,0,0,29,36,2,19,19,44,0,0,0,103,13,13,50.0,Matches
