Player,Rk,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_2,Att_2,Cmp%_2,Cmp_3,Att_3,Cmp%_3,Cmp_4,Att_4,Cmp%_4,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
James Maddison,313,engENG,MF,Tottenham,28-152,1996,19.6,1001,1232,81.3,16292,4891,477,525,90.9,413,480,86.0,72,157,45.9,6,4.1,5.8,+1.9,39,121,32,5,160,Matches
James Mcatee,334,engENG,"MF,FW",Manchester City,22-188,2002,3.3,84,104,80.8,1280,226,45,52,86.5,37,42,88.1,2,6,33.3,0,0.3,0.6,-0.3,2,7,2,0,6,Matches
James Milner,346,engENG,MF,Brighton,39-110,1986,1.9,55,73,75.3,899,347,26,28,92.9,23,30,76.7,4,10,40.0,0,0.2,0.2,-0.2,4,3,1,1,10,Matches
James Tarkowski,495,engENG,DF,Everton,32-156,1992,32.5,1045,1290,81.0,22119,8229,337,399,84.5,525,571,91.9,173,276,62.7,1,2.9,2.4,-1.9,16,83,11,0,75,Matches
James Ward-Prowse,539,engENG,MF,West Ham,30-174,1994,8.4,487,559,87.1,8180,2372,253,265,95.5,188,205,91.7,40,73,54.8,1,1.1,0.9,-0.1,12,56,4,1,43,Matches
Jamie Vardy,525,engENG,FW,Leicester City,38-103,1987,27.6,230,341,67.4,3279,373,131,175,74.9,74,94,78.7,11,17,64.7,3,2.9,2.5,+0.1,18,10,9,1,20,Matches
Jan Bednarek,49,plPOL,DF,Southampton,29-012,1996,25.1,1472,1591,92.5,25994,8489,567,594,95.5,795,842,94.4,98,129,76.0,0,0.5,0.9,-0.5,5,70,1,0,58,Matches
Jan Paul van Hecke,229,nlNED,DF,Brighton,24-320,2000,28.9,1795,2041,87.9,35321,13506,624,671,93.0,959,1031,93.0,200,305,65.6,1,1.5,1.3,-0.5,13,202,16,4,209,Matches
Jannik Vestergaard,530,dkDEN,DF,Leicester City,32-264,1992,15.5,870,959,90.7,14697,5807,397,418,95.0,416,444,93.7,48,81,59.3,0,0.1,0.1,-0.1,3,34,1,0,32,Matches
Jarell Quansah,416,engENG,DF,Liverpool,22-085,2003,3.5,206,228,90.4,3720,1253,75,77,97.4,115,126,91.3,13,20,65.0,0,0.1,0.2,-0.1,1,18,1,0,12,Matches
Jarrad Branthwaite,66,engENG,DF,Everton,22-301,2002,24.1,790,973,81.2,15498,6108,288,323,89.2,400,441,90.7,96,179,53.6,1,0.6,0.4,+0.4,2,71,2,0,54,Matches
Jarrod Bowen,64,engENG,"FW,MF",West Ham,28-125,1996,28.2,488,683,71.4,8051,2381,262,314,83.4,168,217,77.4,44,84,52.4,5,5.4,5.4,-0.4,45,37,40,6,84,Matches
Jason Steele,482,engENG,GK,Brighton,34-249,1990,2.0,101,112,90.2,2321,1556,21,21,100.0,63,65,96.9,17,26,65.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Jay Robinson,434,engENG,MF,Southampton,18-040,2007,0.0,4,4,100.0,40,6,4,4,100.0,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Jay Stansfield,481,engENG,MF,Fulham,22-151,2002,0.0,0,0,N/a,0,0,0,0,N/a,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Jayden Danns,120,engENG,MF,Liverpool,19-098,2006,0.1,1,1,100.0,6,0,1,1,100.0,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Jayden Meghoma,341,engENG,DF,Brentford,18-300,2006,0.1,3,3,100.0,28,7,3,3,100.0,0,0,N/a,0,0,N/a,0,0.0,0.0,0.0,0,0,0,0,0,Matches
