Player,Rk,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive_2,PassDead_2,TO_2,Sh_2,Fld_2,Def_2,Matches
Marc Guéhi,214,engENG,DF,Crystal Palace,24-285,2000,32.0,38,1.19,32,0,0,3,2,1,5,0.16,4,0,0,0,0,1,Matches
Marco Asensio,36,esESP,"MF,FW",Aston Villa,29-093,1996,5.3,25,4.68,14,7,0,1,2,1,3,0.56,2,0,0,1,0,0,Matches
Marcos Senesi,461,arARG,DF,Bournemouth,27-349,1997,11.2,16,1.43,16,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches
Marcus Harness,224,engENG,MF,Ipswich Town,29-059,1996,0.5,2,4.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marcus Rashford,420,engENG,"FW,MF",Manchester Utd,27-175,1997,10.9,29,2.67,24,1,2,2,0,0,1,0.09,1,0,0,0,0,0,Matches
Marcus Tavernier,496,engENG,"FW,MF",Bournemouth,26-033,1999,17.3,82,4.73,57,12,3,6,4,0,10,0.58,5,3,0,1,1,0,Matches
Mario Lemina,296,gaGAB,"MF,DF",Wolves,31-235,1993,15.2,26,1.71,21,0,2,2,0,1,5,0.33,5,0,0,0,0,0,Matches
Mark Flekken,181,nlNED,GK,Brentford,31-315,1993,31.4,7,0.22,4,3,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
Mark Travers,514,ieIRL,GK,Bournemouth,25-341,1999,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marshall Munetsi,361,zwZIM,"MF,FW",Wolves,28-306,1996,7.8,13,1.68,9,0,0,1,2,1,1,0.13,1,0,0,0,0,0,Matches
Martial Godo,199,engENG,FW,Fulham,22-041,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Martin Dúbravka,150,skSVK,GK,Newcastle Utd,36-099,1989,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Martin Ødegaard,567,noNOR,MF,Arsenal,26-128,1998,22.7,112,4.95,93,12,2,4,1,0,13,0.57,11,2,0,0,0,0,Matches
