Player,Rk,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Boubacar Kamara,271,frFRA,MF,Aston Villa,25-152,1999,15.3,0,7,1,14.3,0.46,0.07,0.00,0.00,21.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Boubacar Traoré,513,mlMLI,MF,Wolves,23-247,2001,0.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Boubakary Soumaré,479,frFRA,MF,Leicester City,26-056,1999,21.2,0,7,0,0.0,0.33,0.00,0.00,N/a,23.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Brajan Gruda,211,deGER,"FW,MF",Brighton,20-328,2004,5.5,0,4,2,50.0,0.72,0.36,0.00,0.00,16.8,2,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
Brandon Austin,37,engENG,GK,Tottenham,26-106,1999,1.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Brennan Johnson,262,wlsWAL,FW,Tottenham,23-336,2001,22.1,11,53,20,37.7,2.39,0.90,0.21,0.55,11.4,0,0,0,9.8,9.8,0.19,+1.2,+1.2,Matches
Bruno Fernandes,178,ptPOR,MF,Manchester Utd,30-228,1994,29.6,8,80,24,30.0,2.70,0.81,0.06,0.21,21.7,12,3,3,9.4,7.1,0.09,-1.4,-2.1,Matches
Bruno Guimarães,216,brBRA,MF,Newcastle Utd,27-159,1997,31.4,4,35,9,25.7,1.12,0.29,0.11,0.44,16.6,0,0,0,3.5,3.5,0.10,+0.5,+0.5,Matches
Bryan Mbeumo,333,cmCMR,FW,Brentford,25-260,1999,32.9,18,66,30,45.5,2.00,0.91,0.20,0.43,17.7,6,5,5,10.6,6.6,0.10,+7.4,+6.4,Matches
Bukayo Saka,442,engENG,"FW,MF",Arsenal,23-231,2001,16.2,6,54,19,35.2,3.34,1.18,0.09,0.26,15.9,1,1,1,5.9,5.1,0.09,+0.1,-0.1,Matches
Caleb Kporha,287,engENG,DF,Crystal Palace,18-283,2006,0.1,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
Caleb Okoli,388,itITA,DF,Leicester City,23-285,2001,12.5,1,4,2,50.0,0.32,0.16,0.25,0.50,13.5,0,0,0,0.6,0.6,0.15,+0.4,+0.4,Matches
Callum Hudson-Odoi,239,engENG,"FW,MF",Nott'ham Forest,24-168,2000,23.4,5,37,17,45.9,1.58,0.73,0.14,0.29,18.3,0,0,0,2.5,2.5,0.07,+2.5,+2.5,Matches
Callum Wilson,552,engENG,FW,Newcastle Utd,33-056,1992,2.8,0,5,0,0.0,1.77,0.00,0.00,N/a,15.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Calvin Bassey,47,ngNGA,DF,Fulham,25-114,1999,30.2,1,13,4,30.8,0.43,0.13,0.08,0.25,15.0,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
Cameron Archer,30,engENG,FW,Southampton,23-277,2001,14.8,2,27,9,33.3,1.82,0.61,0.07,0.22,13.1,0,0,1,5.1,4.3,0.16,-3.1,-2.3,Matches
Cameron Burgess,75,auAUS,DF,Ipswich Town,29-185,1995,14.1,0,9,1,11.1,0.64,0.07,0.00,0.00,9.7,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Caoimhín Kelleher,274,ieIRL,GK,Liverpool,26-152,1998,10.0,0,0,0,N/a,0.00,0.00,N/a,N/a,N/a,0,0,0,0.0,0.0,N/a,0.0,0.0,Matches
